dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2000/1/1,10.081,0.228,Santa Rosa,United States,37.78N,122.03W
2000/1/1,11.484,0.336,Savannah,United States,31.35N,81.05W
2000/1/1,12.779,0.223,Scottsdale,United States,32.95N,112.02W
2000/1/1,0.776,0.266,Seattle,United States,47.42N,121.97W
2000/1/1,8.994,0.235,Shreveport,United States,32.95N,92.87W
2000/1/1,10.772,0.455,Simi Valley,United States,34.56N,118.70W
2000/1/1,-8.705,0.369,Sioux Falls,United States,44.20N,96.15W
2000/1/1,-4.308,0.381,South Bend,United States,40.99N,85.21W
2000/1/1,-1.529,0.292,Spokane,United States,47.42N,117.24W
2000/1/1,8.547,0.269,Spring Valley,United States,36.17N,115.36W
2000/1/1,1.642,0.216,Springfield,United States,37.78N,93.56W
2000/1/1,-1.335,0.238,Springfield,United States,39.38N,89.48W
2000/1/1,-6.166,0.178,Springfield,United States,42.59N,72.00W
2000/1/1,-3.168,0.238,Stamford,United States,40.99N,74.56W
2000/1/1,-4.653,0.226,Sterling Heights,United States,42.59N,82.91W
2000/1/1,10.081,0.228,Stockton,United States,37.78N,122.03W
2000/1/1,10.081,0.228,Sunnyvale,United States,37.78N,122.03W
2000/1/1,8.547,0.269,Sunrise Manor,United States,36.17N,115.36W
2000/1/1,-5.909,0.474,Syracuse,United States,42.59N,76.36W
2000/1/1,0.776,0.266,Tacoma,United States,47.42N,121.97W
2000/1/1,12.91,0.344,Tallahassee,United States,29.74N,84.92W
2000/1/1,16.251,0.142,Tampa,United States,28.13N,82.73W
2000/1/1,12.779,0.223,Tempe,United States,32.95N,112.02W
2000/1/1,-0.081,0.274,Thornton,United States,39.38N,104.05W
2000/1/1,10.772,0.455,Thousand Oaks,United States,34.56N,118.70W
2000/1/1,-4.221,0.177,Toledo,United States,40.99N,83.08W
2000/1/1,0.278,0.303,Toms River,United States,39.38N,74.91W
2000/1/1,0.027,0.228,Topeka,United States,39.38N,95.72W
2000/1/1,10.772,0.455,Torrance,United States,34.56N,118.70W
2000/1/1,11.281,0.561,Tucson,United States,31.35N,111.20W
2000/1/1,4.46,0.189,Tulsa,United States,36.17N,95.47W
2000/1/1,10.081,0.228,Vallejo,United States,37.78N,122.03W
2000/1/1,3.914,0.412,Vancouver,United States,45.81N,123.46W
2000/1/1,6.189,0.272,Virginia Beach,United States,36.17N,75.58W
2000/1/1,8.865,0.537,Visalia,United States,36.17N,119.34W
2000/1/1,10.51,0.294,Waco,United States,31.35N,98.01W
2000/1/1,-4.653,0.226,Warren,United States,42.59N,82.91W
2000/1/1,-0.097,0.214,Washington,United States,39.38N,76.99W
2000/1/1,-1.108,0.344,Waterbury,United States,40.99N,72.43W
2000/1/1,10.772,0.455,West Covina,United States,34.56N,118.70W
2000/1/1,1.178,0.625,West Jordan,United States,40.99N,112.90W
2000/1/1,1.178,0.625,West Valley City,United States,40.99N,112.90W
2000/1/1,-0.081,0.274,Westminster,United States,39.38N,104.05W
2000/1/1,1.283,0.198,Wichita,United States,37.78N,97.63W
2000/1/1,6.05,0.234,Wichita Falls,United States,34.56N,99.24W
2000/1/1,-4.653,0.226,Windsor,United States,42.59N,82.91W
2000/1/1,3.299,0.334,Winston Salem,United States,36.17N,79.56W
2000/1/1,-6.166,0.178,Worcester,United States,42.59N,72.00W
2000/1/1,-3.168,0.238,Yonkers,United States,40.99N,74.56W
